code	name	url	description	affiliation
Alwaraq	al-Warrāq	http://www.alwaraq.net	One of the earliest online collections of digital Arabic books	
AOCP1	Arabic-script OCR Catalyst Project (Phase 1)	https://openiti.org/projects/OpenITI%20AOCP%20Phase%20One.html	Books OCR'ed during the first phase of this project	
AOCP2	Arabic-script OCR Catalyst Project (Phase 2)	https://openiti.org/projects/OpenITI%20AOCP%20Phase%20One.html	Books OCR'ed during the second phase of this project	
ALCorpus	Arabic and Latin Corpus	https://www.arabic-latin-corpus.philosophie.uni-wuerzburg.de/	A collection of Arabic-Latin translations of the 10th to 14th centuries AD	
ArabCommAph	Arabic Commentaries on the Hippocratic Aphorisms	https://research.manchester.ac.uk/en/projects/arabic-commentaries-on-the-hippocratic-aphorisms	Collection of Arabic commentaries on the Aphorisms ascribed to Hippocrates, collected by Peter Pormann's ERC project	
BibleCorpus	Bible Corpus	https://github.com/christos-c/bible-corpus	A multilingual parallel corpus of Bible translations	
DARE	Digital Averroes Research Environment	https://dare.uni-koeln.de/	Digital editions of Ibn Rushd’s works and their translations	
DSS	Department of Syriac Studies / Dāʾirat al-Dirāsāt al-Suryāniyya	https://dss-syriacpatriarchate.org	Christian texts from the patriarchate of Antakya	
EScr	Escriptorium	https://escriptorium.openiti.org/	Books OCRed through eScriptorium; for details of transcription models, see version yml-file	
GRAR	Graeco-Arabic Studies Corpus	https://graeco-arabic-studies.org	A Digital Corpus for Graeco-Arabic Studies	
Filaha	The Filāḥa Project	http://www.filaha.org/	Arabic books on husbandry	
Hindawi	Hindawi	https://www.hindawi.org/books/	Books published by the Hindawi foundation	
JK	al-Jāmiʿ al-kabīr		Books digitized by Jordanian publisher Markaz al-Turāṯ	
JMIHE	Jewish-Muslim Intellectual History Entangled	https://www.openbookpublishers.com/product/1193	Publication of texts from the Karaite Library in Cairo, now in St Petersburg	
Kraken	-	-	Books OCRed through Kraken; for details of transcription models, see version yml-file	
LAL	Library of Arabic Literature	https://www.libraryofarabicliterature.org/	Arabic editions and English translations of significant works of Arabic literature	
MP	Muslim Philosophy	https://www.muslimphilosophy.com/	Website on Muslim Philosophy; mostly links to editions but produced some MS Word editions themselves	
PAL	Ptolemaeus Arabus et Latinus	https://ptolemaeus.badw.de/	Arabic translations of and commentaries on Ptolemy's works	
SAWS	Sharing Ancient Wisdoms	https://ancientwisdoms.ac.uk/	Collection of Wisdom texts in Arabic and other languages	
Shamela	al-Maktabaŧ al-Šāmilaŧ	www.shamela.ws	Large digital open-access library, scraped ca. 2014	
Sham19Y	al-Maktabaŧ al-Šāmilaŧ (2019 additions)	www.shamela.ws	additional scrape in October 2019	
Sham30K	al-Maktabaŧ al-Šāmilaŧ (30.000 texts)	https://archive.org/details/SHAMELH30-1-20	Official version + large amount of additional texts	
ShamAY		(gift)	Official version of al-Maktabaŧ al-Šāmilaŧ + private collection of digitized books	
ShamIbadiyya	al-Maktabaŧ al-Šāmilaŧ al-Ibāḍiyyaŧ	https://archive.org/details/5_20190723	Collection of Ibāḍī texts by the Algerian Jamʿiyyaŧ al-Turāṯ, packaged in a Maktaba Shamela instance	
Shia	al-Maktabaŧ al-Šīʿiyyaŧ	http://shiaonlinelibrary.com	Text collection by the Ayatollah Milani Foundation	
Tafsir	al-Tafāsīr	www.altafsir.com	Collection of Qur'ān commentaries by the Jordanian Royal Aal al-Bayt Institute for Islamic Thought	
Wiki	Wīkī Maṣdar	https://ar.wikisource.org/Texts	Texts from Arabic Wikisource	
Yatim			(texts for which we do not have text files yet)	
Zaydiyya	al-Maktabaŧ al-Šāmilaŧ al-Zaydiyyaŧ		Collection of Zaydī texts, packaged in a Maktaba Shamela instance	
LMN	Lorenz Matthias Nigst			KITAB
GVDB	Gowaart Van Den Bossche			KITAB
JT	Jan Thiele			CSIC
Khismatulin	Alexei Khismatulin			IOM RAS, St.Peterburg
MGR	Maxim Romanov			Universität Hamburg; KITAB
SBS	Sarah Bowen Savant			KITAB
AQ	Aslisho Qurboniev			KITAB
PES	P. Elie Saade			Université Saint-Esprit de Kaslik, Lebanon
PV	Peter Verkinderen			KITAB
SPL	Simon Peter Loynes			ShariaSource; KITAB
NA	Najib Ali			Queen Mary University, London
MAS	Mohammed Abdisalam Abdillahi			Queen Mary University, London
SLB	Syed Lorenzo Bukhari			Queen Mary University, London
FAQ	Fatima Ali Aqiil			Queen Mary University, London
YR	Yossi Rapoport			Queen Mary University, London